#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
32,Canada,"3,881,003",,"41,245 ",,"3,537,998",,"301,760",306,"101,127","1,075","62,032,975","1,616,392","38,377,431 ",North America,109301,,,"7,863"
33,Chile,"3,739,796",,"57,955 ",,"3,511,537",,"170,304",152,"192,463","2,983","38,843,427","1,999,022","19,431,216 ",South America,53351,,,"8,764"
34,Philippines,"3,691,327",,"60,456 ",,"3,628,435",,"2,436",460,"32,847",538,"30,279,305","269,434","112,380,961 ",Asia,"301,8594",,,22
35,Switzerland,"3,657,546",,"13,958 ",,"3,610,386","+2,139","33,202",40,"416,761","1,590","21,104,853","2,404,803","8,776,126 ",Europe,26290,,,"3,783"
36,Peru,"3,584,256",,"213,248 ",,N/A,N/A,N/A,165,"105,875","6,299","30,795,010","909,653","33,853,571 ",South America,91591,,,"48,749"
37,Greece,"3,467,979",,"29,901 ",,"3,392,347",,"45,731",120,"335,870","2,896","82,973,278","8,035,882","10,325,348 ",Europe,33450,,,"4,429"
38,Denmark,"2,986,308",,"6,376 ",,"2,972,862",,"7,070",10,"512,112","1,093","127,473,771","21,860,053","5,831,357 ",Europe,29150,,,"1,212"
39,Romania,"2,910,392",,"65,691 ",,N/A,N/A,N/A,67,"153,248","3,459","23,244,656","1,223,955","18,991,428 ",Europe,72891,,,"12,534"
40,Sweden,"2,509,366",,"18,981 ",,"2,484,129",,"6,256",6,"245,531","1,857","18,607,268","1,820,644","10,220,156 ",Europe,45381,,,612
41,Taiwan,"2,404,871","+62,110","2,939 ",+124,"827,411","+130,158","1,574,521",,"100,624",123,"18,788,521","786,146","23,899,522 ",Asia,"108,1321","2,599",5,"65,881"
42,Iraq,"2,328,582",,"25,220 ",,"2,302,322",,"1,040",6,"55,502",601,"18,609,588","443,562","41,954,893 ",Asia,"181,6642",,,25
43,Serbia,"2,018,437",,"16,087 ",,"1,997,537",,"4,813",11,"232,812","1,856","9,738,664","1,123,282","8,669,828 ",Europe,45391,,,555
44,Bangladesh,"1,953,623",,"29,131 ",,"1,903,751",,"20,741","1,259","11,640",174,"14,144,780","84,276","167,839,231 ",Asia,"865,76212",,,124
45,Hungary,"1,919,840",,"46,547 ",,"1,847,746",,"25,547",13,"199,707","4,842","11,394,556","1,185,294","9,613,272 ",Europe,52071,,,"2,657"
46,Slovakia,"1,790,228",+78,"20,104 ",,"1,768,348",+117,"1,776",23,"327,598","3,679","7,152,732","1,308,893","5,464,718 ",Europe,32721,14,,325
47,Jordan,"1,694,216",,"14,048 ",,"1,678,941",,"1,227",124,"162,943","1,351","16,670,254","1,603,281","10,397,587 ",Asia,67401,,,118
48,Georgia,"1,655,221",,"16,811 ",,"1,637,293",,"1,117",,"416,463","4,230","16,920,079","4,257,191","3,974,470 ",Asia,22360,,,281
49,Ireland,"1,565,970",,"7,347 ",,"1,541,800",,"16,823",21,"310,482","1,457","12,248,126","2,428,414","5,043,673 ",Europe,36860,,,"3,335"
50,Pakistan,"1,530,703",+55,"30,379 ",,"1,496,123",,"4,201",65,"6,681",133,"28,641,437","125,003","229,125,295 ",Asia,"1507,5428",0.2,,18
51,Norway,"1,434,750",,"3,172 ",,N/A,N/A,N/A,20,"260,739",576,"11,002,430","1,999,489","5,502,620 ",Europe,"41,7351",,,"243,998"
52,Singapore,"1,316,728",,"1,392 ",,"1,234,739",,"80,597",9,"221,721",234,"23,877,882","4,020,745","5,938,671 ",Asia,"54,2660",,,"13,572"
53,Kazakhstan,"1,305,774",,"13,662 ",,"1,292,033",,79,24,"67,981",711,"11,575,012","602,618","19,207,870 ",Asia,"151,4062",,,4
54,Hong Kong,"1,214,638",,"9,382 ",,N/A,N/A,N/A,5,"159,532","1,232","44,972,952","5,906,811","7,613,745 ",Asia,68120,,,"156,562"
55,New Zealand,"1,196,033","+4,473","1,179 ",+7,"1,146,889","+4,893","47,965",,"239,106",236,"71,423,774","14,278,758","5,002,100 ",Australia/Oceania,"44,2430",894,1,"9,589"
56,Morocco,"1,169,920",,"16,079 ",,"1,151,347",,"2,494",293,"30,991",426,"11,684,779","309,527","37,750,432 ",Africa,"322,3483",,,66
57,Bulgaria,"1,165,807",,"37,163 ",,"1,055,543",,"73,101",31,"170,239","5,427","10,022,613","1,463,566","6,848,076 ",Europe,61841,,,"10,675"
58,Croatia,"1,137,864",,"15,998 ",,"1,119,844",,"2,022",5,"280,491","3,944","4,889,714","1,205,347","4,056,685 ",Europe,42541,,,498
59,Cuba,"1,105,443",,"8,529 ",,"1,096,704",,210,23,"97,711",754,"13,852,049","1,224,399","11,313,346 ",North America,"101,3261",,,19
60,Finland,"1,105,211",,"4,627 ",,N/A,N/A,N/A,21,"198,878",833,"10,942,610","1,969,072","5,557,242 ",Europe,"51,2011",,,"189,768"
61,Lebanon,"1,099,745",,"10,435 ",,"1,086,833",,"2,477",186,"162,521","1,542","4,795,578","708,694","6,766,786 ",Asia,66481,,,366
62,Lithuania,"1,063,097",+25,"9,148 ",,"1,036,674",+5,"17,275",8,"401,256","3,453","9,982,904","3,767,951","2,649,425 ",Europe,22900,9,,"6,520"
63,Tunisia,"1,042,872",,"28,641 ",,N/A,N/A,N/A,29,"86,502","2,376","4,632,454","384,244","12,056,027 ",Africa,124213,,,"-1,038.90"
64,Slovenia,"1,026,207",,"6,640 ",,"1,015,354",,"4,213",7,"493,491","3,193","2,669,478","1,283,720","2,079,486 ",Europe,23131,,,"2,026"
65,Belarus,"982,867",,"6,978 ",,N/A,N/A,N/A,,"104,080",739,"13,220,483","1,399,977","9,443,357 ",Europe,"101,3531",,,"5,014"
66,Nepal,"979,190",,"11,952 ",,"967,128",,110,,"32,485",397,"5,713,835","189,559","30,142,756 ",Asia,"312,5225",,,4
67,Uruguay,"925,777",,"7,238 ",,"901,555",,"16,984",18,"264,747","2,070","6,114,822","1,748,671","3,496,840 ",South America,44831,,,"4,857"
68,UAE,"910,338",,"2,305 ",,"893,641",,"14,392",,"89,956",228,"163,168,725","16,123,702","10,119,805 ",Asia,"114,3900",,,"1,422"
69,Bolivia,"910,134",+215,"21,949 ",+1,"872,057",+568,"16,128",220,"75,979","1,832","2,705,422","225,853","11,978,692 ",South America,135464,18,0.08,"1,346"
70,Costa Rica,"904,934",,"8,525 ",,"860,711",,"35,698",52,"174,582","1,645","4,659,757","898,974","5,183,419 ",North America,66081,,,"6,887"
71,Ecuador,"878,196",,"35,645 ",,N/A,N/A,N/A,759,"48,366","1,963","2,470,170","136,042","18,157,343 ",South America,215097,,,"21,956"
72,Panama,"871,852",,"8,269 ",,"834,188",,"29,395",16,"196,135","1,860","6,315,192","1,420,692","4,445,153 ",North America,55381,,,"6,613"
73,Guatemala,"864,560",,"18,208 ",,"841,791",,"4,561",5,"46,603",981,"4,682,748","252,416","18,551,712 ",North America,"211,0194",,,246
74,Latvia,"829,143",,"5,828 ",,"821,043",,"2,272",7,"449,111","3,157","7,269,300","3,937,463","1,846,189 ",Europe,23170,,,"1,231"
75,Azerbaijan,"792,785",,"9,713 ",,"783,019",,53,,"76,860",942,"6,901,005","669,051","10,314,621 ",Asia,"131,0621",,,5
76,Saudi Arabia,"770,650",,"9,155 ",,"754,378",,"7,117",88,"21,494",255,"42,658,581","1,189,764","35,854,652 ",Asia,"473,9161",,,198
77,Sri Lanka,"663,862",,"16,518 ",,"646,964",,380,,"30,755",765,"6,486,117","300,483","21,585,602 ",Asia,"331,3073",,,18
78,Paraguay,"651,268",,"18,911 ",,"624,673",,"7,684",2,"89,206","2,590","2,646,163","362,452","7,300,731 ",South America,113863,,,"1,052"
79,Kuwait,"633,225",,"2,555 ",,"630,034",,636,2,"144,183",582,"8,112,849","1,847,267","4,391,812 ",Asia,"71,7191",,,145
80,Myanmar,"613,381",,"19,434 ",,"592,327",,"1,620",,"11,130",353,"8,230,626","149,349","55,110,027 ",Asia,"902,8367",,,29
81,Bahrain,"588,070",,"1,488 ",,"582,028",,"4,554",4,"323,993",820,"9,866,664","5,435,963","1,815,072 ",Asia,"31,2200",,,"2,509"
82,Dominican Republic,"586,099",,"4,377 ",,"579,434",,"2,288",8,"53,008",396,"3,372,385","305,007","11,056,747 ",North America,"192,5263",,,207
83,Palestine,"582,495",,"5,356 ",,"576,993",,146,17,"109,306","1,005","3,078,533","577,692","5,329,025 ",Asia,99952,,,27
84,Estonia,"576,870",,"2,574 ",,"519,365",,"54,931",2,"434,309","1,938","3,378,065","2,543,251","1,328,247 ",Europe,25160,,,"41,356"
85,Venezuela,"523,833",,"5,722 ",,"517,113",,998,230,"18,522",202,"3,359,014","118,772","28,281,306 ",South America,"544,9438",,,35
86,Moldova,"518,793",,"11,521 ",,"504,142",,"3,130",49,"129,183","2,869","3,216,305","800,879","4,015,969 ",Europe,83491,,,779
87,Egypt,"515,645",,"24,613 ",,"442,182",,"48,850",122,"4,863",232,"3,693,367","34,830","106,039,298 ",Africa,"2064,30829",,,461
88,Libya,"502,016",,"6,430 ",,"490,973",,"4,613",101,"71,201",912,"2,477,219","351,346","7,050,663 ",Africa,"141,0973",,,654
89,Cyprus,"491,777",,"1,067 ",,"124,370",,"366,340",60,"401,702",872,"9,477,138","7,741,293","1,224,232 ",Asia,"21,1470",,,"299,241"
90,Ethiopia,"474,715",,"7,515 ",,"456,149",,"11,051",14,"3,942",62,"4,947,819","41,085","120,428,994 ",Africa,"25416,02524",,,92
91,Mongolia,"469,885",,"2,179 ",,"313,256",,"154,450",192,"139,034",645,"4,030,048","1,192,452","3,379,632 ",Asia,"71,5511",,,"45,700"
92,Honduras,"425,417",,"10,900 ",,"132,430",,"282,087",105,"41,679","1,068","1,382,273","135,424","10,207,004 ",North America,249367,,,"27,637"
93,Armenia,"422,963",,"8,625 ",,"412,606",,"1,732",,"142,226","2,900","3,089,295","1,038,812","2,973,874 ",Asia,73451,,,582
94,Réunion,"416,661",,784 ,,"413,051",,"2,826",10,"459,091",864,"1,603,660","1,766,967","907,578 ",Africa,"21,1581",,,"3,114"
95,Oman,"389,473",,"4,260 ",,"384,669",,544,2,"72,719",795,"25,000,000","4,667,762","5,355,886 ",Asia,"141,2570",,,102
96,Bosnia and Herzegovina,"377,962",,"15,788 ",,N/A,N/A,N/A,,"116,595","4,870","1,778,954","548,779","3,241,658 ",Europe,92052,,,"52,429"
97,Qatar,"369,526",,677 ,,"367,017",,"1,832",,"131,607",241,"3,553,871","1,265,711","2,807,805 ",Asia,"84,1471",,,652
98,Kenya,"325,442",,"5,651 ",,"318,755",,"1,036",,"5,807",101,"3,679,918","65,660","56,044,669 ",Africa,"1729,91815",,,18
99,Zambia,"322,207",,"3,988 ",,"317,380",,839,,"16,633",206,"3,488,805","180,095","19,372,036 ",Africa,"604,8586",,,43
100,North Macedonia,"312,157",,"9,309 ",,"302,344",,504,,"149,844","4,469","2,049,834","983,979","2,083,210 ",Europe,72241,,,242
101,Botswana,"308,126",,"2,697 ",,"303,845",,"1,584",1,"126,138","1,104","2,026,898","829,755","2,442,766 ",Africa,89061,,,648
102,Albania,"276,342",,"3,497 ",,"272,570",,275,2,"96,227","1,218","1,831,385","637,721","2,871,766 ",Europe,108212,,,96
103,Algeria,"265,889",,"6,875 ",,"178,418",,"80,596",6,"5,860",152,"230,861","5,088","45,371,010 ",Africa,"1716,599197",,,"1,776"
104,Nigeria,"256,148",,"3,143 ",,"250,065",,"2,940",11,"1,186",15,"5,188,353","24,026","215,945,460 ",Africa,"84368,70742",,,14
